pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,random_trial.started,Fixation_2.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation_2.stopped,Probe_2.started,Key_Resp.started,random_trial.stopped,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,2,2,10,2,,,,,34.52487399999518,,34.51310560002457,34.52487399999518,35.525827699981164,35.525827699981164,35.525827699981164,35.525827699981164,35.525827699981164,36.54180030000862,36.54180030000862,39.07741119997809,c,1,2.5270146999973804,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-150,z,2,3,11,3,,,,,39.09190320002381,,39.07916979998117,39.09190320002381,40.09204359998694,40.09204359998694,40.09204359998694,40.09204359998694,40.09204359998694,41.091657800017856,41.091657800017856,42.26025649998337,z,1,1.1514919999754056,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-50,x,3,0,12,0,,,,,42.27496720000636,,42.26221610000357,42.27496720000636,43.275327900017146,43.275327900017146,43.275327900017146,43.275327900017146,43.275327900017146,44.27561579999747,44.27561579999747,45.30743639997672,x,1,1.0026746000512503,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
150,v,3,1,13,1,,,,,45.32425260002492,,45.30858820001595,45.32425260002492,46.309304199996404,46.309304199996404,46.309304199996404,46.309304199996404,46.325621200026944,47.30870509997476,47.30870509997476,48.660905199998524,v,1,1.3478620999958366,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
50,c,3,2,14,2,,,,,48.67499189998489,,48.66278830001829,48.67499189998489,49.67597779998323,49.67597779998323,49.67597779998323,49.67597779998323,49.67597779998323,50.674996500019915,50.674996500019915,51.81057939998573,c,1,1.130639599985443,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-150,z,3,3,15,3,,,,,51.82512350002071,,51.81250970001565,51.82512350002071,52.826227499987,52.826227499987,52.826227499987,52.826227499987,52.826227499987,53.8249348999816,53.8249348999816,55.343849700002465,z,1,1.502433600020595,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-50,x,4,0,16,0,,,,,55.358321900013834,,55.3458034999785,55.358321900013834,56.358428800012916,56.358428800012916,56.358428800012916,56.358428800012916,56.358428800012916,57.359318499977235,57.359318499977235,58.294482600002084,x,1,0.9225699999951757,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
150,v,4,1,17,1,,,,,58.3090235000127,,58.29560760001186,58.3090235000127,59.309183400007896,59.309183400007896,59.309183400007896,59.309183400007896,59.309183400007896,60.308182000007946,60.308182000007946,62.16071690001991,v,1,1.849488600040786,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
50,c,4,2,18,2,,,,,62.17486879997887,,62.16307750000851,62.17486879997887,63.1755083000171,63.1755083000171,63.1755083000171,63.1755083000171,63.1755083000171,64.1749157999875,64.1749157999875,66.62837980000768,c,1,2.448019100003876,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-150,z,4,3,19,3,,,,,66.64296500000637,,66.63033219997305,66.64296500000637,67.6423907999997,67.6423907999997,67.6423907999997,67.6423907999997,67.6423907999997,68.64158400002634,68.64158400002634,69.91125810000813,z,1,1.2644912999821827,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
